,CD3,CD4,CD8a,CD11b,CD14,CD15,CD16,CD19,CD20,CD25,CD27,CD28,CD34,CD45RA,CD45RO,CD56,CD62L,CD69,CD80,CD86,CD127,CD137,CD197,CD274,CD278,CD335,PD-1,HLA-DR,TIGIT
ARNT,0.10660651002238537,-0.001717778571090192,0.047767205173180116,0.016556611824171355,0.006136529872673514,0.015144100184815164,0.011431474362647867,0.008334745589229494,-0.003920151610386426,0.006471741050737691,-0.07575566171417104,-0.007570468076948764,-0.0005982397323230954,-0.017337067235948432,0.0856340068731609,0.023457950867468814,-0.011683772508965126,0.015991437272625975,0.009011558409074829,0.006923443978779317,-0.036226028876178366,0.020289939954139052,0.009120988302400147,0.006363109622814124,0.056486958527295475,0.008386568175343665,-0.008593268602643742,0.020137734867663078,0.03251868154692289
E2F7,0.304534255646196,0.10048590036406758,0.26903381395060777,0.09041550653284829,0.029635634773377866,0.07395194280536611,0.07789290037201631,0.05350842792553893,0.0716160729499683,0.04914650381046548,0.07507658108597899,0.05700145074990889,0.0234977443840876,0.21632173759121287,0.0703243164841685,0.10713240899711533,0.05755504377498153,0.09438018356666887,0.05719577401064784,0.02035706137243078,0.11821291688058061,0.04472364746824956,0.07032918768654532,0.07378591997483737,0.16151544871570286,0.08739767571229694,0.1203681177758236,0.03140168363588325,0.13799612168999006
HIF1A,-0.316975391484309,-0.029811244373349418,-0.1829992646352387,-0.06287877590562399,-0.027058358926447243,-0.07029972134168787,-0.06428828635968756,-0.04353356678918804,-0.06249964361602524,-0.043938300508582794,-0.09155850456266906,-0.07222421646874744,-0.01925202404019937,-0.16887794281826787,-0.10242426930496046,-0.09995689820477603,-0.04680820659856178,-0.08587179503627737,-0.0482255172344003,-0.02063773557767005,-0.08153026982066648,-0.05746551965403205,-0.06069991338191225,-0.059116202203500806,-0.1279355053620364,-0.07468167277868248,-0.08966342518991106,-0.039698459342670696,-0.18718236967040286
TCF25,0.18707565863956757,0.04884479116262064,0.14587710584628427,0.02638746337473469,0.020061965675915068,0.051695464997633764,0.03430348500817731,0.0321150263195899,0.08316597424897819,0.0392894059106823,0.2748976537892541,0.1580655839898669,0.004042189321658907,0.07640842975288555,0.08725676753544229,0.04630187682787503,0.061898908364237684,0.05906900646689236,0.03498842176997156,0.014751284056130996,0.176946634453673,0.04290421982737259,0.05339680950091404,0.04765076060255908,0.08778739309725576,0.04672070538929758,0.1627662124801005,0.017705249715785513,0.11374749459388644
BACH1,-0.021648577611155725,-0.04234780478919732,-0.07798104715574741,-0.009499270178122025,-0.0028490334463807786,-0.005929157929862678,-0.012512826010451884,-0.00833568358252095,0.003972173723264714,0.0015373375169341825,0.07368328730400814,0.03222133802065368,-0.006818043205818322,-0.039772879751205435,-0.009719299597404644,-0.004375243892405026,0.006222844347765137,-0.012039175097815746,-0.005680293414866904,-0.002782476147182447,0.03756139069817872,-0.006740884437412862,-0.003975261876561791,-0.009928409532686033,-0.04437732976116782,-0.0109145021304164,-0.03708534785525485,-0.00794393987819212,-0.05649914589452641
IRF8,0.10640664891487164,0.04298404159095594,0.0041408534815588404,0.02218741328536684,0.007647808764163991,0.02014671291862083,0.015993992639095976,0.01260428334038571,0.007060289476284015,0.010970313252141244,-0.030643840943868284,0.016557501231781208,0.001219698406704483,0.0054933323794955045,0.06944809224391801,0.02827756054686613,0.0021977168024552222,0.022302070258690018,0.014989495314441178,0.006557915206976958,0.011747731627691703,0.01758347261274417,0.015822382319710303,0.014912308590392737,0.06191979686880732,0.015434926770941697,0.02745912214374599,0.014466202213796587,0.013717744825279456
CTCF,-0.04727938191563376,-0.053881517343578385,0.005159292185767642,-0.0074598507122361464,-0.0035431210543204737,-0.010469515403708642,-0.016431121393696606,-0.00912561938999068,0.010580948790100325,0.002689386425571144,0.10082394908267855,0.03848297374177196,-0.011130850267441553,-0.06044980034640712,-0.01060878710811971,-0.014130442291745237,0.008209400022788124,-0.017977819797234847,-0.008335951072954458,-0.0033616000422079734,0.05447084612880218,-0.012885532055260194,-0.003555355563578784,-0.011673771464788586,-0.044707757261612836,-0.016039966843560554,-0.03936304548702998,-0.012332956344448335,-0.08751082664864004
HOXA9,-0.006972602374204609,0.045902335566087665,0.09652533676285206,-0.016263490462922622,0.0035511064819187103,0.008080930369196958,0.001971492426024176,0.00835264287528888,0.02966158204719568,0.0035601629996013795,0.11634936851841887,0.06103968793706336,0.00033292101007653923,0.010314073389054665,0.02451050857482429,-0.0194922671016945,0.01724960215579152,0.011878702415353899,0.0044696032528184215,0.003622407529480602,0.04750341401427225,0.015410623842535606,0.01131705476074883,0.013552757580838098,0.035417717983512925,0.005964816361034688,0.129184272623839,0.003125802752033888,0.09089623494708203
MEF2A,0.06090915408720903,0.04795175077847731,0.06049271854811005,0.034106948166776896,0.007358102844701505,0.017677876611013787,0.020697598361905878,0.014650637881456183,0.023228544847711193,0.01584840092445638,0.03911518450609482,0.021041064133426653,0.004579586492581756,0.05743586053267277,-0.0027541218113952895,0.029725798396398665,0.0225081296640842,0.022127171835911157,0.016781942059678093,0.0034556160385897476,0.06834664615588569,0.0004035989731685448,0.020694315624551433,0.021406353204976233,0.038069165499891804,0.023102368595067806,0.026548185441426248,-0.0007405026692399113,-0.028326940895072265
MEF2C,-0.07824333054699441,-0.0034886769298397677,0.034752847783465456,-0.013900621489008093,-0.0006299379797272359,-0.002457936283192403,-0.0102794139731968,-0.0010361130252923068,0.049340510475513036,0.01102224772084093,0.27658624475131427,0.10726547854368008,-0.006315431699216525,0.00283387800608051,-0.05839703431389312,-0.021555586584383005,0.04499694065023103,-0.0052876084634705086,-0.000949099389804505,-0.0034256240453958723,0.15679725721830737,-0.012526374258340122,0.010781656590382068,0.006129797121048696,-0.04756328314026632,-0.0017339471488235637,0.06943708822768546,-0.02339112629741099,-0.04556546570370276
ZNF639,0.20224993882720288,0.007591694676109599,0.0767552223684553,0.03444279131062128,0.014889855596009263,0.039329986553927124,0.035604815784088306,0.02284878949979087,0.019884123154926967,0.020892706611754106,-0.021612517100874373,0.01649291384128384,0.010659745097497803,0.07727186761076289,0.08518457620089934,0.05987653758835032,0.01137295013707137,0.04742119946168643,0.02570459691130499,0.012658522785947453,-0.001480434517963703,0.037932013084111295,0.02948360292719545,0.028497442652778728,0.08143012875101006,0.03886625563973922,0.026677459316817826,0.030199196833129455,0.11877053568849305
